Wall time,Step,Value
1680269394.3326259,199,0.984375
1680269394.6884909,299,0.984375
1680269394.8673735,349,0.984375
1680269395.2237747,449,0.984375
1680269395.5869203,549,0.9375
1680269395.7663171,599,0.953125
1680269395.9461997,649,0.984375
1680269396.1256747,699,1.0
1680269396.3058121,749,0.953125
1680269396.4902234,799,1.0
1680269396.6702619,849,1.0
1680269396.8494582,899,0.984375
1680269397.0302675,949,0.96875
1680269397.211973,999,0.96875
1680269397.3988807,1049,0.984375
1680269397.7629952,1149,0.96875
1680269398.1326208,1249,0.96875
1680269398.3154016,1299,0.984375
1680269399.2177813,1549,0.984375
1680269399.4047246,1599,1.0
1680269399.5858605,1649,0.984375
1680269399.7650363,1699,0.984375
1680269399.9445987,1749,0.96875
1680269400.312362,1849,0.953125
1680269400.8779044,1999,0.984375
1680269401.064956,2049,0.984375
1680269401.436271,2149,1.0
1680269401.6194763,2199,0.984375
1680269401.8012571,2249,0.984375
1680269401.9814854,2299,1.0
1680269402.3459442,2399,1.0
1680269402.7021768,2499,1.0
1680269402.8800874,2549,1.0
1680269403.4135647,2699,0.984375
1680269403.59291,2749,0.953125
1680269403.7732108,2799,1.0
1680269403.9532197,2849,0.953125
1680269404.1352038,2899,0.96875
1680269404.6718817,3049,0.984375
1680269404.84825,3099,1.0
1680269405.2104127,3199,0.984375
1680269405.5674973,3299,0.984375
1680269405.745872,3349,0.96875
1680269405.9215524,3399,1.0
1680269406.0969782,3449,0.984375
1680269406.2732217,3499,1.0
1680269406.6255658,3599,0.984375
1680269406.8012674,3649,0.984375
1680269406.9779484,3699,1.0
1680269407.1569607,3749,1.0
1680269407.5149684,3849,0.984375
1680269407.8796332,3949,1.0
1680269408.0607688,3999,0.953125
1680269408.420326,4099,1.0
1680269408.6002204,4149,0.96875
1680269408.9571598,4249,0.96875
1680269409.1341476,4299,0.984375
1680269409.3096316,4349,0.96875
1680269409.484684,4399,1.0
1680269409.6594913,4449,0.984375
1680269409.8392272,4499,1.0
1680269410.197762,4599,0.96875
1680269410.3784106,4649,0.953125
1680269410.5561185,4699,1.0
1680269410.730074,4749,0.96875
1680269411.6076422,4999,1.0
1680269412.1320422,5149,0.96875
1680269412.4813273,5249,1.0
1680269412.6563392,5299,0.96875
1680269412.8317335,5349,0.984375
1680269414.0599377,5699,0.953125
1680269414.584172,5849,1.0
1680269414.9322557,5949,1.0
1680269415.1101332,5999,1.0
1680269415.285501,6049,0.96875
1680269415.9867258,6249,0.953125
1680269416.1661594,6299,0.984375
1680269416.3478851,6349,0.953125
1680269416.8868685,6499,1.0
1680269417.0663857,6549,0.984375
1680269417.6031134,6699,0.984375
1680269418.3107255,6899,0.984375
1680269418.6615431,6999,0.96875
1680269419.0193388,7099,0.984375
1680269419.1943777,7149,0.984375
1680269419.3723009,7199,0.984375
1680269419.5469084,7249,0.984375
1680269419.7219548,7299,0.984375
1680269419.8979213,7349,0.984375
1680269420.2512445,7449,0.984375
1680269420.6035154,7549,0.984375
1680269421.131814,7699,1.0
1680269421.3062718,7749,1.0
1680269421.4795587,7799,1.0
1680269422.1151078,7899,0.984375
1680269422.2890096,7949,1.0
1680269422.4640713,7999,1.0
1680269422.8110971,8099,1.0
1680269422.9848423,8149,0.984375
1680269423.3326595,8249,1.0
1680269423.5060983,8299,1.0
1680269423.8553615,8399,0.984375
1680269424.0287197,8449,0.984375
1680269424.202334,8499,0.984375
1680269424.5497015,8599,0.96875
1680269425.2504647,8799,1.0
1680269425.4251254,8849,1.0
1680269425.5992382,8899,0.984375
1680269425.7727544,8949,1.0
1680269426.120149,9049,1.0
1680269426.2944725,9099,1.0
1680269426.6418345,9199,1.0
1680269426.989605,9299,0.96875
1680269427.1651232,9349,0.984375
1680269427.3425977,9399,0.96875
1680269427.516026,9449,0.984375
1680269427.8648076,9549,1.0
1680269428.0384035,9599,1.0
1680269429.2609358,9949,1.0
1680269429.9694808,10149,1.0
1680269430.688674,10349,1.0
1680269430.8669388,10399,1.0
1680269431.044387,10449,1.0
1680269431.7537544,10649,0.953125
1680269431.9300954,10699,0.984375
1680269432.106669,10749,1.0
1680269432.2824783,10799,0.96875
1680269432.8153908,10949,1.0
1680269432.9908466,10999,0.984375
1680269433.1673937,11049,1.0
1680269433.3428848,11099,0.984375
1680269433.5185668,11149,0.984375
1680269433.6965349,11199,0.984375
1680269434.0479288,11299,0.96875
1680269434.2230816,11349,1.0
1680269434.3988392,11399,0.96875
1680269434.750792,11499,0.96875
1680269434.9265213,11549,1.0
1680269435.1022258,11599,0.96875
1680269435.27772,11649,0.96875
1680269435.4553902,11699,1.0
1680269435.6396418,11749,1.0
1680269436.1746802,11899,0.984375
1680269436.3484645,11949,1.0
1680269436.6966,12049,0.984375
1680269437.3985255,12249,1.0
1680269437.574636,12299,0.984375
1680269437.9333956,12399,0.984375
1680269438.1114247,12449,0.984375
1680269438.2890403,12499,0.984375
1680269438.4719892,12549,0.984375
1680269438.653117,12599,0.984375
1680269439.3559225,12799,0.96875
1680269439.8759453,12949,0.984375
1680269440.0494435,12999,1.0
1680269440.2263439,13049,0.96875
1680269440.405423,13099,0.984375
1680269440.7625132,13199,1.0
1680269441.4646494,13399,0.984375
1680269441.8157077,13499,1.0
1680269442.1659677,13599,1.0
1680269442.3416755,13649,1.0
1680269442.5167615,13699,0.984375
1680269442.6916976,13749,1.0
1680269442.867934,13799,0.984375
1680269443.218083,13899,0.984375
1680269443.3935328,13949,0.984375
1680269443.7435746,14049,1.0
1680269444.1008368,14149,1.0
1680269444.451485,14249,1.0
1680269445.3342705,14499,0.984375
1680269445.6855385,14599,0.984375
1680269445.861117,14649,0.96875
1680269446.2138152,14749,1.0
1680269446.3890455,14799,1.0
1680269446.564609,14849,0.984375
1680269446.7448318,14899,0.984375
1680269446.9198308,14949,0.984375
1680269447.0988348,14999,1.0
1680269447.2745166,15049,1.0
1680269447.4496481,15099,0.984375
1680269447.6255088,15149,0.96875
1680269447.8008137,15199,0.984375
1680269448.518811,15399,1.0
1680269448.697008,15449,0.984375
1680269449.0525749,15549,1.0
1680269449.8540041,15699,0.984375
1680269450.5592473,15899,1.0
1680269450.7349417,15949,0.96875
1680269450.9104154,15999,0.984375
1680269451.0859354,16049,1.0
1680269451.4402032,16149,0.984375
1680269451.6154456,16199,1.0
1680269451.7912204,16249,1.0
1680269451.9663017,16299,1.0
1680269452.1414917,16349,0.984375
