Wall time,Step,Value
1680269394.3326657,199,0.0
1680269394.6885307,299,0.0
1680269394.8674157,349,0.0
1680269395.2238145,449,0.0
1680269395.5869594,549,0.0
1680269395.7663565,599,0.0
1680269395.9462392,649,0.0
1680269396.125714,699,0.0
1680269396.3058522,749,0.0
1680269396.4902623,799,1.0
1680269396.6703017,849,1.0
1680269396.8494976,899,1.0
1680269397.0303063,949,1.0
1680269397.2120128,999,1.0
1680269397.398935,1049,1.0
1680269397.7630348,1149,1.0
1680269398.1326602,1249,1.0
1680269398.3154423,1299,1.0
1680269399.217821,1549,1.0
1680269399.4047637,1599,2.0
1680269399.5859005,1649,2.0
1680269399.765076,1699,2.0
1680269399.9446383,1749,2.0
1680269400.3124192,1849,2.0
1680269400.8779442,1999,2.0
1680269401.0649958,2049,2.0
1680269401.4363112,2149,2.0
1680269401.6195168,2199,2.0
1680269401.8012974,2249,2.0
1680269401.9815254,2299,2.0
1680269402.345983,2399,3.0
1680269402.7022169,2499,3.0
1680269402.8801262,2549,3.0
1680269403.413604,2699,3.0
1680269403.592951,2749,3.0
1680269403.7732499,2799,3.0
1680269403.9532595,2849,3.0
1680269404.1352446,2899,3.0
1680269404.6719215,3049,3.0
1680269404.8482893,3099,3.0
1680269405.210453,3199,4.0
1680269405.567537,3299,4.0
1680269405.7459126,3349,4.0
1680269405.9215908,3399,4.0
1680269406.0970166,3449,4.0
1680269406.2732606,3499,4.0
1680269406.625605,3599,4.0
1680269406.801306,3649,4.0
1680269406.9779882,3699,4.0
1680269407.157001,3749,4.0
1680269407.5150115,3849,4.0
1680269407.8796728,3949,5.0
1680269408.060808,3999,5.0
1680269408.4203746,4099,5.0
1680269408.9571993,4249,5.0
1680269409.1341875,4299,5.0
1680269409.3096712,4349,5.0
1680269409.4847236,4399,5.0
1680269409.6595304,4449,5.0
1680269409.8392665,4499,5.0
1680269410.1978018,4599,5.0
1680269410.3784513,4649,5.0
1680269410.5561585,4699,6.0
1680269410.7301137,4749,6.0
1680269411.6076825,4999,6.0
1680269412.1320815,5149,6.0
1680269412.4813762,5249,6.0
1680269412.6563885,5299,6.0
1680269412.8317733,5349,6.0
1680269414.0599763,5699,7.0
1680269414.5842109,5849,7.0
1680269414.9322953,5949,7.0
1680269415.1101737,5999,7.0
1680269415.285541,6049,7.0
1680269415.9867651,6249,7.0
1680269416.166199,6299,8.0
1680269416.3479276,6349,8.0
1680269416.8869085,6499,8.0
1680269417.0664258,6549,8.0
1680269417.603153,6699,8.0
1680269418.310765,6899,8.0
1680269418.6615827,6999,8.0
1680269419.0193892,7099,9.0
1680269419.194419,7149,9.0
1680269419.3723412,7199,9.0
1680269419.546948,7249,9.0
1680269419.7219942,7299,9.0
1680269419.8979607,7349,9.0
1680269420.251285,7449,9.0
1680269420.6035557,7549,9.0
1680269421.1318545,7699,9.0
1680269421.3063114,7749,9.0
1680269421.4795978,7799,9.0
1680269421.9414215,7849,10.0
1680269422.115147,7899,10.0
1680269422.289049,7949,10.0
1680269422.637671,8049,10.0
1680269422.8111367,8099,10.0
1680269423.1592398,8199,10.0
1680269423.3326986,8249,10.0
1680269423.680875,8349,10.0
1680269423.855413,8399,10.0
1680269424.028759,8449,10.0
1680269424.3765094,8549,10.0
1680269425.076867,8749,11.0
1680269425.250505,8799,11.0
1680269425.425165,8849,11.0
1680269425.5992777,8899,11.0
1680269425.946538,8999,11.0
1680269426.1202004,9049,11.0
1680269426.4679623,9149,11.0
1680269426.8151386,9249,11.0
1680269426.9896445,9299,11.0
1680269427.165163,9349,11.0
1680269427.342637,9399,12.0
1680269427.6909404,9499,12.0
1680269427.8648477,9549,12.0
1680269429.0869737,9899,12.0
1680269429.7924616,10099,12.0
1680269430.5110695,10299,13.0
1680269430.688714,10349,13.0
1680269430.866978,10399,13.0
1680269431.5778327,10599,13.0
1680269431.7537937,10649,13.0
1680269431.9301353,10699,13.0
1680269432.1067092,10749,13.0
1680269432.6352913,10899,13.0
1680269432.8154318,10949,14.0
1680269432.9908862,10999,14.0
1680269433.1674352,11049,14.0
1680269433.3429244,11099,14.0
1680269433.5186067,11149,14.0
1680269433.872504,11249,14.0
1680269434.0479681,11299,14.0
1680269434.2231212,11349,14.0
1680269434.5741968,11449,14.0
1680269434.7508314,11499,14.0
1680269434.9265614,11549,14.0
1680269435.1022656,11599,14.0
1680269435.27776,11649,14.0
1680269435.4554322,11699,14.0
1680269435.9978323,11849,15.0
1680269436.17472,11899,15.0
1680269436.5220337,11999,15.0
1680269437.222581,12199,15.0
1680269437.3985653,12249,15.0
1680269437.7546399,12349,15.0
1680269437.9334369,12399,15.0
1680269438.1114652,12449,15.0
1680269438.2890806,12499,15.0
1680269438.472029,12549,16.0
1680269439.182964,12749,16.0
1680269439.7017684,12899,16.0
1680269439.8759856,12949,16.0
1680269440.0494838,12999,16.0
1680269440.2263951,13049,16.0
1680269440.5840569,13149,16.0
1680269441.2921357,13349,17.0
1680269441.6398935,13449,17.0
1680269441.9908729,13549,17.0
1680269442.166007,13599,17.0
1680269442.3417156,13649,17.0
1680269442.516801,13699,17.0
1680269442.6917372,13749,17.0
1680269443.0431883,13849,17.0
1680269443.2181222,13899,17.0
1680269443.5686126,13999,17.0
1680269443.9251695,14099,18.0
1680269444.276282,14199,18.0
1680269445.1549425,14449,18.0
1680269445.5105288,14549,18.0
1680269445.6855774,14599,18.0
1680269446.0387487,14699,18.0
1680269446.2138546,14749,18.0
1680269446.3890855,14799,18.0
1680269446.5646486,14849,18.0
1680269446.7448711,14899,19.0
1680269446.9198704,14949,19.0
1680269447.0988765,14999,19.0
1680269447.2745554,15049,19.0
1680269447.4496877,15099,19.0
1680269447.6255481,15149,19.0
1680269448.3374782,15349,19.0
1680269448.518851,15399,19.0
1680269448.8750887,15499,19.0
1680269449.6359398,15639,19.0
1680269450.20719,15799,20.0
1680269450.382993,15849,20.0
1680269450.5592866,15899,20.0
1680269450.7349823,15949,20.0
1680269451.085975,16049,20.0
1680269451.4402432,16149,20.0
1680269451.6154852,16199,20.0
1680269451.7912602,16249,20.0
1680269451.9663408,16299,20.0
1680269452.4973202,16449,21.0
1680269452.6726694,16499,21.0
1680269453.0239441,16599,21.0
1680269453.7284436,16799,21.0
1680269454.0837758,16899,21.0
1680269454.4325798,16999,21.0
1680269454.6079457,17049,21.0
1680269454.7821221,17099,21.0
1680269454.9560208,17149,21.0
1680269455.1301186,17199,21.0
1680269455.3102586,17249,22.0
1680269455.4864993,17299,22.0
1680269455.6618738,17349,22.0
1680269456.1879325,17499,22.0
1680269456.5383377,17599,22.0
1680269456.7116964,17649,22.0
1680269457.058035,17749,22.0
1680269457.405907,17849,22.0
1680269457.5791128,17899,22.0
1680269457.7531369,17949,22.0
1680269457.9314628,17999,23.0
1680269458.1046512,18049,23.0
1680269458.2773771,18099,23.0
1680269458.4508574,18149,23.0
1680269458.6237586,18199,23.0
1680269458.969684,18299,23.0
1680269459.142686,18349,23.0
1680269459.487965,18449,23.0
1680269459.66526,18499,23.0
1680269460.0157201,18599,23.0
1680269460.3676484,18699,23.0
1680269460.5427268,18749,23.0
1680269460.7213817,18799,24.0
1680269460.8971014,18849,24.0
1680269461.0723183,18899,24.0
1680269461.4240603,18999,24.0
1680269461.5993383,19049,24.0
1680269461.9497876,19149,24.0
1680269462.1240807,19199,24.0
1680269462.2972918,19249,24.0
1680269462.4699116,19299,24.0
1680269462.6435726,19349,24.0
1680269462.9899294,19449,24.0
1680269463.1644924,19499,24.0
1680269463.3375304,19549,24.0
1680269463.5143049,19599,25.0
1680269464.3816242,19849,25.0
1680269465.07669,20049,25.0
1680269465.2493489,20099,25.0
1680269465.597085,20199,25.0
1680269465.7699978,20249,25.0
1680269466.120211,20349,26.0
1680269467.3305037,20699,26.0
1680269467.5055165,20749,26.0
1680269468.0324862,20899,26.0
1680269468.207671,20949,26.0
1680269468.3826997,20999,26.0
1680269468.557954,21049,26.0
1680269468.913816,21149,27.0
1680269469.2683957,21249,27.0
1680269469.623686,21349,27.0
1680269469.976455,21449,27.0
1680269470.329883,21549,27.0
1680269470.8617315,21699,27.0
1680269471.5812502,21899,28.0
1680269471.7598789,21949,28.0
1680269471.937815,21999,28.0
1680269472.115949,22049,28.0
1680269472.471892,22149,28.0
1680269472.6519747,22199,28.0
1680269473.1864295,22349,28.0
1680269473.3646727,22399,28.0
1680269473.7202373,22499,28.0
1680269474.2664163,22649,28.0
1680269474.8011012,22799,29.0
1680269474.9768531,22849,29.0
1680269475.1568053,22899,29.0
1680269475.335492,22949,29.0
1680269475.5129454,22999,29.0
1680269475.8727765,23099,29.0
1680269476.0536544,23149,29.0
1680269476.2337818,23199,29.0
1680269476.4159608,23249,29.0
1680269476.5947666,23299,29.0
1680269476.773107,23349,29.0
1680269476.9514534,23399,29.0
1680269477.4364753,23459,29.0
1680269477.7652748,23549,30.0
1680269477.9453406,23599,30.0
1680269478.4829962,23749,30.0
1680269478.6608214,23799,30.0
1680269479.3808208,23999,30.0
1680269479.918581,24149,30.0
1680269480.0983744,24199,30.0
1680269480.4626162,24299,31.0
1680269480.6423905,24349,31.0
1680269481.0027466,24449,31.0
1680269481.3611696,24549,31.0
1680269481.8921797,24699,31.0
1680269482.0692127,24749,31.0
1680269483.1383874,25049,32.0
1680269483.6705654,25199,32.0
1680269483.8476064,25249,32.0
1680269484.0246184,25299,32.0
1680269484.2022548,25349,32.0
1680269484.3788598,25399,32.0
1680269484.555641,25449,32.0
1680269484.732686,25499,32.0
1680269485.0869515,25599,32.0
1680269485.2637563,25649,32.0
1680269485.4411035,25699,32.0
1680269485.6189454,25749,32.0
1680269485.7954993,25799,32.0
1680269485.9760542,25849,33.0
1680269486.1552072,25899,33.0
1680269486.8730512,26099,33.0
1680269487.0526059,26149,33.0
1680269488.1310842,26449,33.0
1680269488.4900055,26549,33.0
1680269488.6725054,26599,34.0
1680269488.8506553,26649,34.0
1680269489.028659,26699,34.0
1680269489.2055125,26749,34.0
1680269489.3821404,26799,34.0
1680269489.559271,26849,34.0
1680269489.7359307,26899,34.0
1680269489.9126773,26949,34.0
1680269490.0909796,26999,34.0
1680269490.2688518,27049,34.0
1680269490.4456692,27099,34.0
1680269490.6232076,27149,34.0
1680269490.8011508,27199,34.0
1680269490.9788237,27249,34.0
1680269491.1556623,27299,34.0
1680269491.3330321,27349,34.0
1680269491.6901655,27449,35.0
1680269491.866811,27499,35.0
1680269492.0443974,27549,35.0
1680269492.398218,27649,35.0
1680269492.7537746,27749,35.0
1680269493.1086304,27849,35.0
1680269493.2867458,27899,35.0
1680269493.8183808,28049,35.0
1680269493.995267,28099,35.0
1680269494.1723025,28149,35.0
1680269494.5302835,28249,36.0
1680269494.7070024,28299,36.0
1680269494.8838332,28349,36.0
1680269495.238962,28449,36.0
1680269495.593539,28549,36.0
1680269495.772452,28599,36.0
1680269496.1297984,28699,36.0
1680269496.3077674,28749,36.0
1680269496.4849174,28799,36.0
1680269496.662298,28849,36.0
1680269496.839985,28899,36.0
1680269497.020447,28949,37.0
1680269497.1973972,28999,37.0
1680269497.374833,29049,37.0
1680269497.5528872,29099,37.0
1680269497.908305,29199,37.0
1680269498.0863757,29249,37.0
1680269498.2634263,29299,37.0
1680269498.795743,29449,37.0
1680269498.9729133,29499,37.0
1680269499.1524668,29549,37.0
1680269499.5069442,29649,37.0
1680269499.6839037,29699,37.0
1680269499.8668792,29749,38.0
1680269500.045486,29799,38.0
1680269500.4069722,29899,38.0
1680269500.7653968,29999,38.0
1680269500.944993,30049,38.0
1680269501.12449,30099,38.0
1680269501.4825473,30199,38.0
