Wall time,Step,Value
1680269687.6462178,299,0.921875
1680269688.9470553,349,0.84375
1680269694.1537547,549,0.953125
1680269695.460683,599,0.984375
1680269698.076042,699,0.96875
1680269699.378028,749,0.96875
1680269700.666748,799,0.9375
1680269701.9852738,849,0.953125
1680269703.292716,899,0.953125
1680269706.0950813,949,0.96875
1680269707.3916924,999,0.96875
1680269708.6859396,1049,0.96875
1680269713.895753,1249,0.9375
1680269715.2086549,1299,0.984375
1680269725.5816135,1699,0.984375
1680269726.8983448,1749,0.96875
1680269729.5151203,1849,0.96875
1680269738.0141306,1999,0.984375
1680269739.3197136,2049,0.984375
1680269741.912184,2149,0.953125
1680269743.2232337,2199,1.0
1680269744.5322819,2249,0.984375
1680269745.8244224,2299,0.984375
1680269748.4240732,2399,0.984375
1680269751.0224345,2499,1.0
1680269752.340108,2549,0.984375
1680269756.2678185,2699,0.96875
1680269757.5844638,2749,0.96875
1680269758.8809388,2799,0.96875
1680269761.712308,2849,0.96875
1680269762.9907389,2899,1.0
1680269766.8927593,3049,1.0
1680269768.202875,3099,0.96875
1680269770.8217912,3199,0.96875
1680269773.4118042,3299,0.96875
1680269774.718629,3349,0.984375
1680269776.0206382,3399,0.890625
1680269777.3220186,3449,1.0
1680269781.2642384,3599,1.0
1680269782.5671551,3649,0.984375
1680269783.8628895,3699,0.96875
1680269789.668021,3749,0.953125
1680269792.2697604,3849,0.984375
1680269796.1435208,3999,0.984375
1680269802.6943157,4249,0.96875
1680269804.0055475,4299,0.984375
1680269805.3157024,4349,0.96875
1680269806.6205437,4399,0.96875
1680269807.9266107,4449,1.0
1680269809.2148046,4499,0.984375
1680269817.276374,4749,0.96875
1680269827.740819,5149,0.984375
1680269830.3726728,5249,0.96875
1680269831.6711178,5299,0.984375
1680269832.977957,5349,0.984375
1680269846.2881541,5699,0.953125
1680269850.184162,5849,0.953125
1680269852.815075,5949,1.0
1680269854.12509,5999,0.96875
1680269855.4424224,6049,0.96875
1680269860.6411047,6249,0.984375
1680269861.9404483,6299,0.953125
1680269863.2430851,6349,1.0
1680269867.1512141,6499,0.96875
1680269868.4233496,6549,0.96875
1680269873.8411262,6699,1.0
1680269879.0649037,6899,1.0
1680269881.6864429,6999,0.984375
1680269884.2955341,7099,0.96875
1680269885.6114342,7149,0.984375
1680269886.9174292,7199,1.0
1680269888.218597,7249,0.984375
1680269890.821926,7349,0.96875
1680269893.437217,7449,1.0
1680269900.5563545,7549,0.984375
1680269904.4469717,7699,0.96875
1680269905.7333298,7749,0.984375
1680269907.0358915,7799,0.984375
1680269909.6724906,7899,0.96875
1680269910.9873326,7949,1.0
1680269912.2854903,7999,1.0
1680269916.2291524,8149,0.96875
1680269918.8309824,8249,0.984375
1680269920.1485343,8299,0.953125
1680269922.7627554,8399,1.0
1680269925.5623295,8449,0.984375
1680269929.4753566,8599,1.0
1680269934.720312,8799,0.96875
1680269936.0500014,8849,0.984375
1680269937.3412268,8899,0.984375
1680269938.651782,8949,0.96875
1680269941.2878528,9049,0.953125
1680269942.6074564,9099,0.96875
1680269945.217981,9199,0.984375
1680269947.8309083,9299,0.984375
1680269949.1073384,9349,0.984375
1680269954.6102562,9399,0.9375
1680269955.9045928,9449,0.984375
1680269958.492728,9549,0.96875
1680269959.7941961,9599,1.0
1680269968.9458125,9949,1.0
1680269974.2030728,10149,0.96875
1680269980.8864644,10349,0.96875
1680269982.1800022,10399,0.96875
1680269983.4742875,10449,0.984375
1680269988.690165,10649,0.96875
1680269990.0012364,10699,0.984375
1680269992.6235166,10799,0.984375
1680269996.5488877,10949,1.0
1680269997.8534906,10999,0.984375
1680270001.797844,11149,0.984375
1680270003.1032271,11199,1.0
1680270010.1735172,11299,1.0
1680270011.471315,11349,1.0
1680270012.7868357,11399,0.96875
1680270015.3990355,11499,1.0
1680270016.699695,11549,1.0
1680270018.0139077,11599,1.0
1680270019.3364618,11649,0.984375
1680270020.6546142,11699,0.984375
1680270021.9680195,11749,0.984375
1680270025.9368634,11899,1.0
1680270029.8805652,12049,0.984375
1680270036.5996041,12249,1.0
1680270037.8893428,12299,0.984375
1680270040.4936771,12399,0.984375
1680270043.0956962,12499,1.0
1680270044.3955696,12549,1.0
1680270050.9366643,12799,0.984375
1680270054.8592546,12949,0.984375
1680270056.1771376,12999,1.0
1680270057.49,13049,1.0
1680270058.7779365,13099,0.96875
1680270065.6177993,13199,0.984375
1680270070.795933,13399,0.9375
1680270073.4005256,13499,0.953125
1680270075.9955637,13599,0.984375
1680270078.5933855,13699,1.0
1680270083.8479776,13899,0.9375
1680270085.157256,13949,0.984375
1680270087.7389805,14049,0.96875
1680270094.4656885,14249,0.96875
1680270101.000525,14499,1.0
1680270103.6139717,14599,0.984375
1680270104.9319997,14649,1.0
1680270108.8367016,14799,0.96875
1680270111.469459,14899,0.984375
1680270112.7593355,14949,0.96875
1680270118.2559757,14999,1.0
1680270120.8721967,15099,0.984375
1680270122.1697254,15149,1.0
1680270123.4688344,15199,1.0
1680270128.6507795,15399,0.953125
1680270129.9501193,15449,0.984375
1680270132.5721817,15549,1.0
1680270136.468406,15699,0.96875
1680270141.663604,15899,0.984375
1680270144.4630783,15949,0.984375
1680270145.7887204,15999,0.984375
1680270147.0978122,16049,1.0
1680270149.7188644,16149,1.0
1680270153.637643,16299,0.984375
1680270154.9348347,16349,1.0
1680270156.2507472,16399,0.984375
1680270160.1498816,16549,1.0
1680270161.4568837,16599,1.0
1680270164.097999,16699,0.984375
1680270176.0437405,16999,1.0
1680270178.6421192,17099,0.984375
1680270181.2729223,17199,1.0
1680270182.5779047,17249,1.0
1680270183.8660905,17299,0.96875
1680270186.507495,17399,0.984375
1680270187.8087626,17449,1.0
1680270194.3654127,17699,0.984375
1680270195.6803634,17749,0.984375
1680270199.7733228,17849,1.0
1680270202.3720946,17949,0.984375
1680270203.673148,17999,1.0
1680270204.9619982,18049,1.0
1680270208.8767834,18199,1.0
1680270210.1655643,18249,0.96875
1680270211.4687939,18299,0.96875
1680270214.0950887,18399,1.0
1680270215.393523,18449,0.984375
1680270217.988656,18549,0.984375
1680270219.2891722,18599,0.984375
1680270221.8992717,18699,1.0
1680270228.7561388,18799,1.0
1680270231.3792982,18899,1.0
1680270232.68221,18949,1.0
1680270233.9918776,18999,1.0
1680270236.6046388,19099,0.96875
1680270237.904025,19149,1.0
1680270241.822808,19299,1.0
1680270243.157685,19349,0.984375
1680270244.475488,19399,0.9375
1680270245.791775,19449,0.96875
1680270248.4212098,19549,1.0
1680270249.7263856,19599,0.984375
1680270251.0357795,19649,0.984375
1680270253.8289232,19699,0.984375
1680270265.5915563,20149,0.984375
1680270266.9025233,20199,1.0
1680270269.5216837,20299,1.0
1680270273.4559417,20449,1.0
1680270286.8164694,20799,1.0
1680270288.1254284,20849,1.0
1680270293.3639307,21049,0.984375
1680270294.6775398,21099,1.0
1680270295.984571,21149,1.0
1680270298.5682166,21249,0.984375
1680270301.1727412,21349,0.984375
1680270306.3937771,21549,1.0
1680270319.6809168,21999,0.984375
1680270320.9923208,22049,1.0
1680270322.305049,22099,1.0
1680270323.611289,22149,0.96875
1680270326.2413447,22249,0.984375
1680270327.5574427,22299,0.953125
1680270331.4393854,22449,0.984375
1680270339.533035,22599,1.0
1680270347.3760304,22899,1.0
1680270348.697421,22949,1.0
1680270350.0147128,22999,1.0
1680270351.3272717,23049,1.0
1680270352.6488695,23099,1.0
1680270355.273393,23199,0.96875
1680270356.5852826,23249,1.0
1680270357.8943794,23299,1.0
1680270360.5025883,23399,0.984375
1680270363.3301122,23449,1.0
1680270364.6350887,23499,1.0
1680270367.2370179,23599,1.0
1680270369.834842,23699,1.0
1680270371.1463034,23749,1.0
1680270376.3928246,23949,1.0
1680270385.573267,24299,1.0
1680270393.7512472,24449,1.0
1680270395.055351,24499,1.0
1680270397.7028952,24599,1.0
1680270400.3331008,24699,1.0
1680270404.275591,24849,0.96875
1680270413.4601636,25199,1.0
1680270420.2170773,25399,0.96875
1680270424.1298683,25549,0.984375
1680270425.4424324,25599,1.0
1680270426.7549531,25649,1.0
1680270429.3543282,25749,1.0
1680270431.95766,25849,0.984375
1680270433.2773464,25899,1.0
1680270435.8774312,25999,0.984375
1680270446.8146179,26249,1.0
1680270448.126592,26299,0.953125
1680270456.0302637,26599,1.0
1680270458.6542,26699,1.0
1680270459.9549506,26749,1.0
1680270461.2677755,26799,1.0
1680270462.5858781,26849,0.984375
1680270463.922309,26899,1.0
1680270465.2198284,26949,1.0
1680270466.5269296,26999,0.96875
1680270467.8301313,27049,0.953125
1680270469.1447644,27099,1.0
1680270470.4464762,27149,1.0
1680270474.8649511,27249,1.0
1680270478.7648544,27399,1.0
1680270480.0939462,27449,1.0
1680270481.3856463,27499,0.984375
1680270484.02878,27599,0.984375
1680270489.3470576,27799,1.0
1680270491.954078,27899,0.984375
1680270494.5790591,27999,1.0
1680270495.8811781,28049,1.0
1680270504.0326886,28199,0.96875
1680270505.330878,28249,1.0
1680270506.6356354,28299,1.0
1680270509.2401245,28399,1.0
1680270511.8467898,28499,1.0
1680270514.4904208,28599,0.984375
1680270517.1301482,28699,1.0
1680270518.4265356,28749,1.0
1680270522.3731163,28899,0.984375
1680270524.9724436,28999,0.984375
1680270527.7613392,29049,0.984375
1680270529.058712,29099,1.0
1680270530.3498769,29149,1.0
1680270531.6511066,29199,1.0
1680270532.9605997,29249,0.984375
1680270535.5684693,29349,1.0
1680270536.875351,29399,0.96875
1680270543.4081285,29649,0.96875
1680270544.7160623,29699,1.0
1680270547.3187425,29799,1.0
1680270548.6172535,29849,0.984375
1680270549.9100323,29899,1.0
1680270551.2199829,29949,1.0
1680270558.0681543,30049,0.984375
1680270560.667604,30149,0.96875
1680270563.2772272,30249,1.0
1680270565.8780973,30349,1.0
1680270568.468431,30449,1.0
1680270571.0727742,30549,0.984375
1680270572.377649,30599,0.984375
1680270573.6805236,30649,1.0
1680270577.6127484,30799,0.984375
1680270584.3188124,30999,1.0
1680270585.6319554,31049,1.0
1680270588.249656,31149,0.96875
1680270589.5503922,31199,1.0
1680270592.1585813,31299,0.953125
1680270597.3796344,31499,1.0
1680270598.674258,31549,1.0
1680270601.2899241,31649,1.0
1680270603.9161677,31749,1.0
1680270617.1750882,32099,0.96875
1680270618.474082,32149,0.984375
1680270621.0714567,32249,1.0
1680270622.3771794,32299,1.0
1680270623.6836205,32349,1.0
1680270624.9820788,32399,0.984375
1680270626.2774944,32449,1.0
1680270627.5682845,32499,1.0
1680270630.2174842,32599,1.0
1680270631.5514596,32649,1.0
1680270638.262674,32849,1.0
1680270639.549926,32899,0.953125
1680270642.1724396,32999,0.984375
1680270644.7849162,33099,1.0
1680270648.6975925,33249,1.0
1680270651.302894,33349,0.984375
1680270652.612673,33399,1.0
1680270653.907562,33449,0.984375
1680270657.860221,33599,1.0
1680270659.1650915,33649,0.984375
1680270660.4606955,33699,1.0
1680270666.059723,33749,0.984375
1680270667.379152,33799,1.0
1680270669.976422,33899,0.984375
1680270671.28372,33949,1.0
1680270672.5966566,33999,1.0
