Wall time,Step,Value
1680269687.646258,299,0.0
1680269688.9470959,349,0.0
1680269694.153795,549,0.0
1680269695.4607239,599,0.0
1680269698.0760827,699,0.0
1680269699.3780687,749,0.0
1680269700.6667883,799,0.0
1680269703.292757,899,0.0
1680269706.0951233,949,1.0
1680269707.3917332,999,1.0
1680269708.6859806,1049,1.0
1680269713.895794,1249,1.0
1680269725.5816548,1699,1.0
1680269726.8983996,1749,1.0
1680269729.5151613,1849,1.0
1680269736.7276907,1949,2.0
1680269738.014172,1999,2.0
1680269740.623118,2099,2.0
1680269743.2232752,2199,2.0
1680269744.532325,2249,2.0
1680269747.125616,2349,2.0
1680269749.7163754,2449,2.0
1680269751.022479,2499,2.0
1680269754.962313,2649,2.0
1680269756.2678592,2699,2.0
1680269757.5845058,2749,2.0
1680269758.8809829,2799,2.0
1680269761.7123501,2849,3.0
1680269765.5931036,2999,3.0
1680269766.8928,3049,3.0
1680269769.5024107,3149,3.0
1680269772.11565,3249,3.0
1680269773.4118452,3299,3.0
1680269774.7186687,3349,3.0
1680269776.020679,3399,3.0
1680269779.9466178,3549,3.0
1680269781.2642798,3599,3.0
1680269782.567197,3649,3.0
1680269783.8629305,3699,3.0
1680269789.6680648,3749,4.0
1680269793.558283,3899,4.0
1680269800.0797338,4149,4.0
1680269801.3825157,4199,4.0
1680269802.6943574,4249,4.0
1680269804.0055912,4299,4.0
1680269805.3157437,4349,4.0
1680269806.620587,4399,4.0
1680269813.1601548,4649,4.0
1680269825.1286347,5049,5.0
1680269829.061152,5199,5.0
1680269830.3727138,5249,5.0
1680269839.464908,5599,5.0
1680269846.2881954,5699,6.0
1680269848.8803017,5799,6.0
1680269850.1842022,5849,6.0
1680269851.487718,5899,6.0
1680269856.7357044,6099,6.0
1680269858.0343103,6149,6.0
1680269859.3427124,6199,6.0
1680269863.2431269,6349,6.0
1680269864.538969,6399,6.0
1680269868.423404,6549,6.0
1680269875.1401222,6749,7.0
1680269877.7504098,6849,7.0
1680269880.3858266,6949,7.0
1680269881.6864839,6999,7.0
1680269882.9896157,7049,7.0
1680269884.2955754,7099,7.0
1680269886.917471,7199,7.0
1680269889.5104585,7299,7.0
1680269892.1359246,7399,7.0
1680269899.2564552,7499,8.0
1680269900.5564077,7549,8.0
1680269901.8592994,7599,8.0
1680269904.4470153,7699,8.0
1680269905.733382,7749,8.0
1680269907.0359328,7799,8.0
1680269910.9873853,7949,8.0
1680269913.5946078,8049,8.0
1680269914.9108632,8099,8.0
1680269917.5296485,8199,8.0
1680269918.8310227,8249,8.0
1680269922.762796,8399,8.0
1680269930.8021536,8649,9.0
1680269932.108124,8699,9.0
1680269933.4145157,8749,9.0
1680269936.05005,8849,9.0
1680269937.3412678,8899,9.0
1680269939.9620905,8999,9.0
1680269942.6074998,9099,9.0
1680269943.9170141,9149,9.0
1680269945.2180223,9199,9.0
1680269946.5281544,9249,9.0
1680269949.1074402,9349,9.0
1680269952.4159715,9369,9.0
1680269962.411409,9699,10.0
1680269967.6389935,9899,10.0
1680269972.8872447,10099,10.0
1680269974.2031298,10149,10.0
1680269975.5026608,10199,10.0
1680269982.1800427,10399,11.0
1680269983.4743285,10449,11.0
1680269986.0908594,10549,11.0
1680269990.0012774,10699,11.0
1680269991.3257241,10749,11.0
1680269995.2334397,10899,11.0
1680269996.5489287,10949,11.0
1680269999.1657333,11049,11.0
1680270000.4766204,11099,11.0
1680270001.7978878,11149,11.0
1680270007.0493033,11243,11.0
1680270008.8747225,11249,12.0
1680270010.173559,11299,12.0
1680270011.471356,11349,12.0
1680270012.7868788,11399,12.0
1680270014.0838616,11449,12.0
1680270018.0139484,11599,12.0
1680270021.96806,11749,12.0
1680270027.2524955,11949,12.0
1680270028.5629842,11999,12.0
1680270031.200497,12099,12.0
1680270035.2822921,12199,13.0
1680270036.599648,12249,13.0
1680270043.0957417,12499,13.0
1680270046.9919908,12649,13.0
1680270048.3037982,12699,13.0
1680270049.6240284,12749,13.0
1680270050.9367049,12799,13.0
1680270053.5364468,12899,13.0
1680270058.7779772,13099,13.0
1680270064.3257153,13149,14.0
1680270066.9021652,13249,14.0
1680270069.5030413,13349,14.0
1680270075.9956048,13599,14.0
1680270078.5935178,13699,14.0
1680270083.848019,13899,14.0
1680270091.8677607,14149,15.0
1680270094.46573,14249,15.0
1680270095.772011,14299,15.0
1680270099.6963215,14449,15.0
1680270102.3072915,14549,15.0
1680270103.614014,14599,15.0
1680270104.9320438,14649,15.0
1680270107.5213838,14749,15.0
1680270108.8367426,14799,15.0
