Wall time,Step,Value
1678668915.9499977,49,0.0
1678668916.132372,99,1.0
1678668916.3082693,149,1.0
1678668916.484528,199,2.0
1678668916.6606028,249,3.0
1678668916.8360014,299,3.0
1678668917.01215,349,4.0
1678668917.1884537,399,5.0
1678668917.3639758,449,5.0
1678668917.544031,499,6.0
1678668917.7226126,549,6.0
1678668917.9027197,599,7.0
1678668918.0817916,649,8.0
1678668918.2597466,699,8.0
1678668918.438786,749,9.0
1678668918.7915392,789,9.0
1678668918.8354282,799,10.0
1678668919.013865,849,10.0
1678668919.1935248,899,11.0
1678668919.3734534,949,12.0
1678668919.5520782,999,12.0
1678668919.7307754,1049,13.0
1678668919.9123647,1099,13.0
1678668920.090046,1149,14.0
1678668920.2677035,1199,15.0
1678668920.4435587,1249,15.0
1678668920.6228416,1299,16.0
1678668920.801419,1349,17.0
1678668920.9770525,1399,17.0
1678668921.157322,1449,18.0
1678668921.3353627,1499,18.0
1678668921.515494,1549,19.0
1678668921.8298733,1579,19.0
1678668921.9092388,1599,20.0
1678668922.0877013,1649,20.0
1678668922.2642918,1699,21.0
1678668922.4409597,1749,22.0
1678668922.6187255,1799,22.0
1678668922.7994742,1849,23.0
1678668922.978799,1899,24.0
1678668923.1575077,1949,24.0
1678668923.333491,1999,25.0
1678668923.5081563,2049,25.0
1678668923.6835442,2099,26.0
1678668923.8587303,2149,27.0
1678668924.0356276,2199,27.0
1678668924.2146294,2249,28.0
1678668924.3930173,2299,29.0
1678668924.5688248,2349,29.0
1678668924.8506296,2369,29.0
1678668924.9840035,2399,30.0
1678668925.1864855,2449,31.0
1678668925.3880847,2499,31.0
1678668925.5927444,2549,32.0
1678668925.792887,2599,32.0
1678668926.0014255,2649,33.0
1678668926.2028189,2699,34.0
1678668926.4076674,2749,34.0
1678668926.611808,2799,35.0
1678668926.8172033,2849,36.0
1678668927.0243366,2899,36.0
1678668927.2367496,2949,37.0
1678668927.438122,2999,37.0
1678668927.637156,3049,38.0
1678668927.8371687,3099,39.0
1678668928.0362527,3149,39.0
1678668928.3197598,3159,39.0
1678668928.4877977,3199,40.0
1678668928.6865184,3249,41.0
1678668928.885488,3299,41.0
1678668929.084363,3349,42.0
1678668929.2836998,3399,43.0
1678668929.482119,3449,43.0
1678668929.6815472,3499,44.0
1678668929.881325,3549,44.0
1678668930.081041,3599,45.0
1678668930.2847397,3649,46.0
1678668930.4923897,3699,46.0
1678668930.6978002,3749,47.0
1678668930.9042752,3799,48.0
1678668931.1070993,3849,48.0
1678668931.309222,3899,49.0
1678668931.5181758,3949,49.0
1678668931.7718449,3949,49.0
1678668931.9783072,3999,50.0
1678668932.1822743,4049,51.0
1678668932.3821914,4099,51.0
1678668932.5844207,4149,52.0
1678668932.787956,4199,53.0
1678668932.987877,4249,53.0
1678668933.1961672,4299,54.0
1678668933.405729,4349,55.0
1678668933.608362,4399,55.0
1678668933.812099,4449,56.0
1678668934.0225792,4499,56.0
1678668934.225801,4549,57.0
1678668934.4340856,4599,58.0
1678668934.6381295,4649,58.0
1678668934.848507,4699,59.0
1678668935.2580338,4739,59.0
1678668935.3030415,4749,60.0
1678668935.512443,4799,60.0
1678668935.7178142,4849,61.0
1678668935.921505,4899,62.0
1678668936.121739,4949,62.0
1678668936.3249536,4999,63.0
1678668936.5231483,5049,63.0
1678668936.728116,5099,64.0
1678668936.9381201,5149,65.0
1678668937.143855,5199,65.0
1678668937.34933,5249,66.0
1678668937.5511189,5299,67.0
1678668937.7577128,5349,67.0
1678668937.963427,5399,68.0
1678668938.1705718,5449,68.0
1678668938.3743546,5499,69.0
1678668938.7494633,5529,69.0
1678668938.832148,5549,70.0
1678668939.0333207,5599,70.0
1678668939.2385128,5649,71.0
1678668939.4413233,5699,72.0
1678668939.6422858,5749,72.0
1678668939.842114,5799,73.0
1678668940.0517094,5849,74.0
1678668940.2553418,5899,74.0
1678668940.4585736,5949,75.0
1678668940.6614103,5999,75.0
1678668940.8680556,6049,76.0
1678668941.0709424,6099,77.0
1678668941.278843,6149,77.0
1678668941.4796836,6199,78.0
1678668941.6853776,6249,79.0
1678668941.891694,6299,79.0
1678668942.2176533,6319,79.0
1678668942.3415084,6349,80.0
1678668942.5457458,6399,81.0
1678668942.7495475,6449,81.0
1678668942.9495056,6499,82.0
1678668943.149815,6549,82.0
1678668943.3287542,6599,83.0
1678668943.5082624,6649,84.0
1678668943.6859407,6699,84.0
1678668943.8643625,6749,85.0
1678668944.043464,6799,86.0
1678668944.2218308,6849,86.0
1678668944.4039419,6899,87.0
1678668944.5825603,6949,87.0
1678668944.7609549,6999,88.0
1678668944.9396298,7049,89.0
1678668945.118129,7099,89.0
1678668945.363129,7109,89.0
1678668945.5076678,7149,90.0
1678668945.6858542,7199,91.0
1678668945.863518,7249,91.0
1678668946.0422988,7299,92.0
1678668946.2217436,7349,93.0
1678668946.3997114,7399,93.0
1678668946.5838873,7449,94.0
1678668946.762151,7499,94.0
1678668946.9419231,7549,95.0
1678668947.1211717,7599,96.0
1678668947.2994308,7649,96.0
1678668947.4779663,7699,97.0
1678668947.6568842,7749,98.0
1678668947.835868,7799,98.0
1678668948.0155869,7849,99.0
1678668948.193371,7899,99.0
1678668948.408357,7899,99.0
1678668948.5668323,7900,99.0
1678668948.7959156,7900,99.0
