Wall time,Step,Value
1680265965.0860925,49,0.0
1680265967.6675315,99,0.0
1680265972.6058364,199,0.0
1680265976.973334,233,0.0
1680265979.8507042,249,1.0
1680265982.4132178,299,1.0
1680265984.9618747,349,1.0
1680265987.441328,399,1.0
1680265989.9117656,449,1.0
1680265994.3022904,467,1.0
1680265997.8865182,499,2.0
1680266000.44584,549,2.0
1680266003.0166738,599,2.0
1680266005.587796,649,2.0
1680266008.025795,699,2.0
1680266011.3993928,701,2.0
1680266016.0072958,749,3.0
1680266018.5726354,799,3.0
1680266021.089266,849,3.0
1680266023.595096,899,3.0
1680266028.1861331,935,3.0
1680266031.1323175,949,4.0
1680266033.631285,999,4.0
1680266036.2499459,1049,4.0
1680266038.7872462,1099,4.0
1680266041.234531,1149,4.0
1680266045.1109092,1169,4.0
1680266051.1070056,1249,5.0
1680266053.668515,1299,5.0
1680266056.238914,1349,5.0
1680266058.674457,1399,5.0
1680266061.4139197,1403,5.0
1680266065.8799515,1449,6.0
1680266071.0562744,1549,6.0
1680266073.60579,1599,6.0
1680266077.9977238,1637,6.0
1680266080.6026428,1649,7.0
1680266083.0712166,1699,7.0
1680266088.2168176,1799,7.0
1680266090.7038355,1849,7.0
1680266094.3089619,1871,7.0
1680266097.7511704,1899,8.0
1680266100.3080328,1949,8.0
1680266102.8195646,1999,8.0
1680266107.7987008,2099,8.0
1680266110.6395464,2105,8.0
1680266115.0064511,2149,9.0
1680266117.5705743,2199,9.0
1680266120.1210272,2249,9.0
1680266122.650804,2299,9.0
1680266127.1591942,2339,9.0
1680266129.7121909,2349,10.0
1680266132.258411,2399,10.0
1680266137.4814997,2499,10.0
1680266139.9533267,2549,10.0
1680266143.662782,2573,10.0
1680266147.1321468,2599,11.0
1680266149.6501358,2649,11.0
1680266152.1636894,2699,11.0
1680266154.7469096,2749,11.0
1680266157.1652193,2799,11.0
1680266160.123241,2807,11.0
1680266164.2289233,2849,12.0
1680266166.7550669,2899,12.0
1680266171.9500115,2999,12.0
1680266176.5377512,3041,12.0
1680266179.0808842,3049,13.0
1680266181.668945,3099,13.0
1680266184.188091,3149,13.0
1680266186.813866,3199,13.0
1680266189.3372195,3249,13.0
1680266193.1407611,3275,13.0
1680266196.1754742,3299,14.0
1680266201.2299697,3399,14.0
1680266203.8443556,3449,14.0
1680266209.3727655,3509,14.0
1680266213.1321218,3549,15.0
1680266215.6972454,3599,15.0
1680266218.247075,3649,15.0
