Wall time,Step,Value
1678668915.949957,49,0.75
1678668916.1323316,99,0.78125
1678668916.3082285,149,0.734375
1678668916.484488,199,0.84375
1678668916.660563,249,0.78125
1678668916.8359609,299,0.8125
1678668917.01211,349,0.875
1678668917.1884146,399,0.875
1678668917.3639352,449,0.78125
1678668917.5439906,499,0.828125
1678668917.722567,549,0.875
1678668917.902675,599,0.8125
1678668918.0817523,649,0.78125
1678668918.2597063,699,0.84375
1678668918.4387465,749,0.78125
1678668918.835389,799,0.75
1678668919.0138252,849,0.859375
1678668919.1934845,899,0.921875
1678668919.3733988,949,0.90625
1678668919.5520384,999,0.875
1678668919.7307348,1049,0.875
1678668919.912324,1099,0.84375
1678668920.0900059,1149,0.828125
1678668920.267664,1199,0.828125
1678668920.4435184,1249,0.9375
1678668920.6228018,1299,0.78125
1678668920.8013794,1349,0.875
1678668920.9770126,1399,0.890625
1678668921.157282,1449,0.953125
1678668921.3353226,1499,0.859375
1678668921.5154533,1549,0.921875
1678668921.909199,1599,0.859375
1678668922.0876617,1649,0.859375
1678668922.2642524,1699,0.875
1678668922.4409177,1749,0.9375
1678668922.6186862,1799,0.828125
1678668922.7994335,1849,0.890625
1678668922.9787588,1899,0.84375
1678668923.157467,1949,0.90625
1678668923.3334513,1999,0.90625
1678668923.5081162,2049,0.890625
1678668923.6835046,2099,0.859375
1678668923.8586907,2149,0.921875
1678668924.0355873,2199,0.921875
1678668924.2145886,2249,0.890625
1678668924.3929765,2299,0.90625
1678668924.5687854,2349,0.78125
1678668924.9839435,2399,0.84375
1678668925.1864412,2449,0.921875
1678668925.3880415,2499,0.890625
1678668925.5927007,2549,0.859375
1678668925.7928433,2599,0.84375
1678668926.0013814,2649,0.8125
1678668926.2027752,2699,0.90625
1678668926.4076242,2749,0.84375
1678668926.6117642,2799,0.90625
1678668926.8171594,2849,0.890625
1678668927.0242786,2899,0.9375
1678668927.2366903,2949,0.875
1678668927.4380786,2999,0.859375
1678668927.6371126,3049,0.875
1678668927.8371248,3099,0.890625
1678668928.0362096,3149,0.890625
1678668928.4877539,3199,0.921875
1678668928.6864748,3249,0.890625
1678668928.8854446,3299,0.890625
1678668929.0843186,3349,0.984375
1678668929.283656,3399,0.890625
1678668929.4820755,3449,0.90625
1678668929.6815035,3499,0.921875
1678668929.8812804,3549,0.828125
1678668930.080996,3599,0.921875
1678668930.2846963,3649,0.890625
1678668930.4923456,3699,0.875
1678668930.6977558,3749,0.890625
1678668930.904231,3799,0.9375
1678668931.1070554,3849,0.96875
1678668931.309178,3899,0.890625
1678668931.5181324,3949,1.0
1678668931.9782639,3999,0.890625
1678668932.1822305,4049,0.890625
1678668932.3821478,4099,0.890625
1678668932.5843768,4149,0.890625
1678668932.7879002,4199,0.96875
1678668932.9878328,4249,0.859375
1678668933.1961067,4299,0.921875
1678668933.4056852,4349,0.890625
1678668933.6083176,4399,0.9375
1678668933.8120549,4449,0.9375
1678668934.0225353,4499,0.90625
1678668934.2257566,4549,0.875
1678668934.4340413,4599,0.890625
1678668934.6380858,4649,0.875
1678668934.84845,4699,0.921875
1678668935.302998,4749,0.921875
1678668935.5123994,4799,0.921875
1678668935.7177703,4849,0.921875
1678668935.921461,4899,0.9375
1678668936.1216948,4949,0.9375
1678668936.3248982,4999,0.890625
1678668936.523104,5049,0.953125
1678668936.7280726,5099,0.921875
1678668936.938077,5149,0.890625
1678668937.1438105,5199,0.890625
1678668937.349286,5249,0.90625
1678668937.551076,5299,0.9375
1678668937.7576692,5349,0.953125
1678668937.9633791,5399,0.953125
1678668938.1705275,5449,0.90625
1678668938.374296,5499,0.890625
1678668938.832104,5549,0.984375
1678668939.0332484,5599,0.90625
1678668939.2384694,5649,0.96875
1678668939.44128,5699,0.9375
1678668939.6422422,5749,0.828125
1678668939.8420703,5799,0.9375
1678668940.051651,5849,0.953125
1678668940.2552981,5899,0.90625
1678668940.45853,5949,0.9375
1678668940.6613667,5999,0.84375
1678668940.868012,6049,0.890625
1678668941.0708866,6099,0.90625
1678668941.278799,6149,0.90625
1678668941.4796402,6199,0.90625
1678668941.6853335,6249,0.953125
1678668941.891651,6299,0.859375
1678668942.3414645,6349,0.84375
1678668942.5457022,6399,0.921875
1678668942.7495039,6449,0.953125
1678668942.9494612,6499,0.890625
1678668943.149775,6549,0.90625
1678668943.3287141,6599,0.96875
1678668943.5082228,6649,0.9375
1678668943.685889,6699,0.890625
1678668943.8643236,6749,0.984375
1678668944.0434244,6799,0.84375
1678668944.2217906,6849,0.9375
1678668944.403891,6899,0.921875
1678668944.5825202,6949,0.890625
1678668944.760903,6999,0.90625
1678668944.9395893,7049,0.875
1678668945.118089,7099,0.96875
1678668945.5076277,7149,0.90625
1678668945.6858146,7199,0.890625
1678668945.8634734,7249,0.90625
1678668946.042259,7299,0.921875
1678668946.2216983,7349,0.90625
1678668946.3996716,7399,0.90625
1678668946.583844,7449,0.890625
1678668946.762111,7499,0.921875
1678668946.9418736,7549,0.953125
1678668947.1211321,7599,0.921875
1678668947.2993915,7649,0.90625
1678668947.4779243,7699,0.84375
1678668947.6568437,7749,0.96875
1678668947.8358285,7799,0.953125
1678668948.015547,7849,0.96875
1678668948.1933312,7899,0.875
