Wall time,Step,Value
1678668961.6515622,49,0.34375
1678668965.8925762,99,0.484375
1678668967.6402006,149,0.4375
1678668975.0373127,199,0.53125
1678668979.269266,249,0.75
1678668981.031621,299,0.609375
1678668988.5888228,349,0.65625
1678668992.8026996,399,0.703125
1678668994.5966125,449,0.609375
1678669002.049209,499,0.609375
1678669006.3521554,549,0.671875
1678669008.1641667,599,0.65625
1678669015.8340201,649,0.609375
1678669017.5774102,699,0.65625
1678669021.9325376,749,0.6875
1678669029.4993396,799,0.828125
1678669031.2776625,849,0.6875
1678669035.7281556,899,0.78125
1678669042.9928124,949,0.65625
1678669044.7845826,999,0.796875
1678669049.1532843,1049,0.8125
1678669056.4183586,1099,0.8125
1678669058.206239,1149,0.78125
1678669062.5285547,1199,0.78125
1678669070.0817673,1249,0.84375
1678669071.8987954,1299,0.765625
1678669076.1280637,1349,0.890625
1678669077.895327,1399,0.78125
1678669085.594347,1449,0.84375
1678669089.8899832,1499,0.890625
1678669091.6371353,1549,0.828125
1678669099.1305025,1599,0.875
1678669103.4761784,1649,0.796875
1678669105.265607,1699,0.84375
1678669112.7903795,1749,0.859375
1678669117.0818994,1799,0.78125
1678669118.8507667,1849,0.859375
1678669126.144578,1899,0.890625
1678669128.0037138,1949,0.921875
1678669132.177631,1999,0.875
1678669139.5014427,2049,0.921875
1678669141.257897,2099,0.9375
1678669145.6497252,2149,0.890625
1678669152.7897587,2199,0.953125
1678669154.5507357,2249,0.9375
1678669158.868643,2299,0.90625
1678669166.1380057,2349,0.890625
1678669167.920727,2399,0.875
1678669172.2120872,2449,0.96875
1678669179.849736,2499,0.96875
1678669181.6573327,2549,0.921875
1678669186.0054536,2599,0.921875
1678669187.7528524,2649,0.984375
1678669195.0627873,2699,1.0
1678669199.2446024,2749,0.953125
1678669200.9941046,2799,0.921875
1678669208.263887,2849,0.953125
1678669212.5244503,2899,0.9375
1678669214.2974827,2949,0.9375
1678669221.6934364,2999,0.9375
1678669226.063272,3049,0.921875
1678669227.8539174,3099,1.0
1678669235.1806827,3149,0.984375
1678669239.4409244,3199,0.96875
1678669241.2744334,3249,0.96875
1678669248.7517369,3299,0.9375
1678669250.511117,3349,0.96875
1678669254.83973,3399,0.953125
1678669262.5434082,3449,0.953125
1678669264.319232,3499,0.96875
1678669268.6445427,3549,1.0
1678669276.263096,3599,0.890625
1678669278.0433776,3649,0.953125
1678669282.3375504,3699,0.921875
1678669289.7362285,3749,0.953125
1678669291.5452697,3799,0.953125
1678669295.895349,3849,0.921875
1678669297.7531006,3899,0.953125
1678669306.0332968,3949,0.984375
1678669310.362491,3999,0.9375
1678669312.1373334,4049,0.984375
1678669319.5705345,4099,0.96875
1678669323.9849787,4149,0.984375
1678669325.7578769,4199,0.96875
1678669333.0613606,4249,0.96875
1678669337.4628346,4299,0.953125
1678669339.2428927,4349,1.0
1678669346.5814312,4399,0.96875
1678669350.8922918,4449,0.96875
1678669352.6990614,4499,0.96875
1678669359.9579613,4549,1.0
1678669361.708194,4599,1.0
1678669366.016947,4649,0.96875
1678669373.3301172,4699,0.96875
1678669375.11074,4749,0.96875
1678669379.438958,4799,1.0
1678669386.6724482,4849,0.953125
1678669388.4290936,4899,0.96875
1678669392.8305626,4949,0.96875
1678669400.2325807,4999,1.0
1678669402.0039456,5049,0.984375
1678669406.3573885,5099,0.953125
1678669413.6089442,5149,0.953125
1678669415.4148479,5199,0.984375
1678669419.8353362,5249,1.0
1678669421.585332,5299,1.0
1678669428.7926373,5349,0.953125
1678669433.0953975,5399,0.96875
1678669434.8715067,5449,0.984375
1678669442.183772,5499,0.984375
1678669446.4857724,5549,1.0
1678669448.252455,5599,1.0
1678669455.8370743,5649,0.984375
1678669460.113528,5699,1.0
1678669461.9078531,5749,1.0
1678669469.5590556,5799,1.0
1678669471.4112926,5849,1.0
1678669475.587321,5899,0.984375
1678669483.2791696,5949,1.0
1678669485.030278,5999,1.0
1678669489.4575891,6049,0.96875
1678669497.0194442,6099,0.984375
1678669498.772679,6149,1.0
1678669503.1200097,6199,0.96875
1678669510.8828182,6249,1.0
1678669512.663389,6299,1.0
1678669516.7845216,6349,1.0
1678669524.0832047,6399,1.0
1678669525.9079409,6449,1.0
1678669530.175436,6499,1.0
1678669531.904408,6549,1.0
1678669539.1530797,6599,0.984375
1678669543.3758225,6649,0.96875
1678669545.1403265,6699,0.96875
1678669552.4667282,6749,0.984375
1678669556.8076084,6799,0.984375
1678669558.5772834,6849,1.0
1678669566.195209,6899,1.0
1678669570.6510265,6949,0.984375
1678669572.4714947,6999,1.0
1678669579.6598818,7049,1.0
1678669583.9647691,7099,1.0
1678669585.7894325,7149,1.0
1678669593.098894,7199,1.0
1678669594.8350224,7249,1.0
1678669599.2172313,7299,1.0
1678669606.4200416,7349,1.0
1678669608.1617675,7399,1.0
1678669612.4802365,7449,1.0
1678669619.7425656,7499,1.0
1678669621.5435658,7549,0.984375
1678669625.9318836,7599,0.984375
1678669633.2705848,7649,1.0
1678669635.082834,7699,1.0
1678669639.425932,7749,1.0
1678669641.3034947,7799,1.0
