Wall time,Step,Value
1678668961.651604,49,0.0
1678668965.892619,99,1.0
1678668967.6402445,149,1.0
1678668970.8703556,155,1.0
1678668975.0373578,199,2.0
1678668979.269307,249,3.0
1678668981.0316672,299,3.0
1678668984.4578457,311,3.0
1678668988.5888655,349,4.0
1678668992.8027406,399,5.0
1678668994.5966575,449,5.0
1678668998.3922446,467,5.0
1678669002.049252,499,6.0
1678669006.352198,549,7.0
1678669008.1642096,599,7.0
1678669012.1143909,623,7.0
1678669015.8340633,649,8.0
1678669017.5774555,699,8.0
1678669021.932592,749,9.0
1678669026.1254418,779,9.0
1678669029.4993882,799,10.0
1678669031.2777064,849,10.0
1678669035.728257,899,11.0
1678669040.0374377,935,11.0
1678669042.9928546,949,12.0
1678669044.7846344,999,12.0
1678669049.153327,1049,13.0
1678669053.7185898,1091,13.0
1678669056.4184012,1099,14.0
1678669058.2062805,1149,14.0
1678669062.5285993,1199,15.0
1678669067.2594292,1247,15.0
1678669070.0818098,1249,16.0
1678669071.8988383,1299,16.0
1678669076.1281066,1349,17.0
1678669077.8953698,1399,17.0
1678669081.1613584,1403,17.0
1678669085.5943909,1449,18.0
1678669089.8900256,1499,19.0
1678669091.6371756,1549,19.0
1678669095.0272799,1559,19.0
1678669099.1305444,1599,20.0
1678669103.476223,1649,21.0
1678669105.2656488,1699,21.0
1678669108.851741,1715,21.0
1678669112.7904236,1749,22.0
1678669117.081955,1799,23.0
1678669118.8508067,1849,23.0
1678669122.6740506,1871,23.0
1678669126.1446192,1899,24.0
1678669128.0037594,1949,24.0
1678669132.1776726,1999,25.0
1678669136.2710323,2027,25.0
1678669139.5014834,2049,26.0
1678669141.2579608,2099,26.0
1678669145.6497676,2149,27.0
1678669149.8978817,2183,27.0
1678669152.7897997,2199,28.0
1678669154.5507824,2249,28.0
1678669158.868685,2299,29.0
1678669163.3356478,2339,29.0
1678669166.1380496,2349,30.0
1678669167.9207716,2399,30.0
1678669172.2121284,2449,31.0
1678669176.9249508,2495,31.0
1678669179.8497782,2499,32.0
1678669181.65738,2549,32.0
1678669186.005495,2599,33.0
1678669187.7528968,2649,33.0
1678669190.8992467,2651,33.0
1678669195.0628293,2699,34.0
1678669199.2446444,2749,35.0
1678669200.9941459,2799,35.0
1678669204.3740425,2807,35.0
1678669208.2639422,2849,36.0
1678669212.5245793,2899,37.0
1678669214.29753,2949,37.0
1678669217.9219415,2963,37.0
1678669221.6934822,2999,38.0
1678669226.0633142,3049,39.0
1678669227.8539665,3099,39.0
1678669231.59786,3119,39.0
1678669235.1807277,3149,40.0
1678669239.4409678,3199,41.0
1678669241.2744782,3249,41.0
1678669245.3061936,3275,41.0
1678669248.75178,3299,42.0
1678669250.5111618,3349,42.0
1678669254.8397717,3399,43.0
1678669259.054644,3431,43.0
1678669262.5434582,3449,44.0
1678669264.3192732,3499,44.0
1678669268.6445854,3549,45.0
1678669273.1096935,3587,45.0
1678669276.2631426,3599,46.0
1678669278.0434756,3649,46.0
1678669282.3375926,3699,47.0
1678669287.0893917,3743,47.0
1678669289.7362719,3749,48.0
1678669291.5453155,3799,48.0
1678669295.8953912,3849,49.0
1678669297.7531464,3899,49.0
1678669301.5858555,3899,49.0
1678669306.0333414,3949,50.0
1678669310.3625326,3999,51.0
1678669312.137444,4049,51.0
1678669315.4742165,4055,51.0
1678669319.5705879,4099,52.0
1678669323.9850202,4149,53.0
1678669325.7579932,4199,53.0
1678669329.224099,4211,53.0
1678669333.0614033,4249,54.0
1678669337.462883,4299,55.0
1678669339.2429469,4349,55.0
1678669342.9041843,4367,55.0
1678669346.5814729,4399,56.0
1678669350.892336,4449,57.0
1678669352.6992233,4499,57.0
1678669356.5660353,4523,57.0
1678669359.9580073,4549,58.0
1678669361.7082353,4599,58.0
1678669366.0169907,4649,59.0
1678669370.1528506,4679,59.0
1678669373.330159,4699,60.0
1678669375.1107838,4749,60.0
1678669379.4390666,4799,61.0
1678669383.7552078,4835,61.0
1678669386.6724908,4849,62.0
1678669388.4291348,4899,62.0
1678669392.8306067,4949,63.0
1678669397.446351,4991,63.0
1678669400.2326221,4999,64.0
1678669402.003989,5049,64.0
1678669406.3574302,5099,65.0
1678669411.1791234,5147,65.0
1678669413.6089873,5149,66.0
1678669415.414889,5199,66.0
1678669419.8353786,5249,67.0
1678669421.5853734,5299,67.0
1678669424.8078299,5303,67.0
1678669428.7926843,5349,68.0
1678669433.095439,5399,69.0
1678669434.871548,5449,69.0
1678669438.3364885,5459,69.0
1678669442.1838686,5499,70.0
1678669446.4858139,5549,71.0
1678669448.2524965,5599,71.0
1678669451.8410783,5615,71.0
1678669455.8371162,5649,72.0
1678669460.1135705,5699,73.0
1678669461.9079018,5749,73.0
1678669465.7799475,5771,73.0
1678669469.5590975,5799,74.0
1678669471.4113357,5849,74.0
1678669475.5873628,5899,75.0
1678669479.7045228,5927,75.0
1678669483.2792118,5949,76.0
1678669485.03032,5999,76.0
1678669489.4576304,6049,77.0
1678669493.777745,6083,77.0
1678669497.019487,6099,78.0
1678669498.7727203,6149,78.0
1678669503.1201456,6199,79.0
1678669507.62587,6239,79.0
1678669510.8828595,6249,80.0
1678669512.663487,6299,80.0
1678669516.7845654,6349,81.0
1678669521.5135746,6395,81.0
1678669524.083247,6399,82.0
1678669525.9079876,6449,82.0
1678669530.1754785,6499,83.0
1678669531.904449,6549,83.0
1678669535.0505009,6551,83.0
1678669539.1531231,6599,84.0
1678669543.375864,6649,85.0
1678669545.14037,6699,85.0
1678669548.4597502,6707,85.0
1678669552.4667711,6749,86.0
1678669556.80765,6799,87.0
1678669558.577324,6849,87.0
1678669562.1160524,6863,87.0
1678669566.195252,6899,88.0
1678669570.6510684,6949,89.0
1678669572.4715447,6999,89.0
1678669576.2124977,7019,89.0
1678669579.659939,7049,90.0
1678669583.964811,7099,91.0
1678669585.789535,7149,91.0
1678669589.74117,7175,91.0
1678669593.0989523,7199,92.0
1678669594.835063,7249,92.0
1678669599.2172768,7299,93.0
1678669603.3618178,7331,93.0
