Wall time,Step,Value
1630183750.7456405,299,0.0
1630183952.877212,749,1.0
1630184006.834325,849,2.0
1630184133.005135,1149,2.0
1630184450.5785701,1849,4.0
1630184492.6585085,1949,4.0
1630184526.4901543,1999,5.0
1630184547.5503263,2049,5.0
1630184588.8097355,2149,5.0
1630184705.992651,2399,6.0
1630184768.986049,2549,6.0
1630184949.0236592,2949,7.0
1630185067.013467,3199,8.0
1630185087.953547,3249,8.0
1630185109.5300536,3299,8.0
1630185130.149875,3349,8.0
1630185226.5117388,3549,9.0
1630185383.6940768,3899,9.0
1630185533.557939,4249,10.0
1630185692.1940062,4599,11.0
1630185745.8660839,4699,12.0
1630185766.4583578,4749,12.0
1630185910.8423665,5069,12.0
1630186010.7393851,5299,13.0
1630186170.249089,5649,14.0
1630186253.4074411,5849,14.0
1630186440.0211446,6239,15.0
1630186647.3424218,6699,17.0
1630186752.7223175,6949,17.0
1630186806.7789156,7049,18.0
1630186985.3118532,7449,19.0
1630187006.7661123,7499,19.0
1630187208.172674,7949,20.0
1630187317.5295992,8189,20.0
1630187345.1458857,8249,21.0
1630187366.2353904,8299,21.0
1630187451.0200748,8499,21.0
1630187610.1206393,8849,22.0
1630187768.6805024,9199,23.0
1630187790.2074747,9249,23.0
1630187811.1220121,9299,23.0
1630187886.037903,9449,24.0
1630188111.185727,9949,25.0
1630188231.075933,10199,26.0
1630188337.522926,10449,26.0
1630188393.5191102,10549,27.0
1630188637.7469578,11099,28.0
1630188753.814667,11349,29.0
1630188859.3375745,11599,29.0
1630188910.0560567,11699,29.0
1630188997.2885141,11899,30.0
1630189086.9082532,12089,30.0
1630189114.7170715,12149,31.0
1630189497.6429107,12999,33.0
1630189603.638177,13249,33.0
1630189617.144625,13259,33.0
1630189721.3756342,13499,34.0
1630189816.9426243,13699,35.0
1630189859.1648147,13799,35.0
1630190018.353703,14149,36.0
1630190038.9135542,14199,36.0
1630190155.5523937,14449,37.0
1630190176.575811,14499,37.0
1630190197.847866,14549,37.0
1630190260.750857,14699,37.0
1630190440.8180556,15099,38.0
1630190600.4244647,15449,39.0
1630190918.4885452,16149,41.0
1630191002.171979,16349,41.0
1630191119.253715,16599,42.0
1630191199.6289825,16769,42.0
1630191235.3539946,16849,43.0
1630191478.7638962,17399,44.0
1630191500.9305983,17449,44.0
1630191817.6669972,18149,46.0
1630192078.1052153,18719,47.0
1630192093.9467998,18749,48.0
1630192135.3787577,18849,48.0
1630192253.6856768,19109,48.0
1630192430.2940693,19499,49.0
1630192475.9959204,19599,50.0
1630192496.9015677,19649,50.0
1630192559.839644,19799,50.0
1630192676.3486445,20049,51.0
1630192857.4762838,20449,52.0
1630192920.4094965,20599,52.0
1630192941.0387957,20649,52.0
1630193120.930613,21049,53.0
1630193134.0730195,21059,53.0
1630193439.4059591,21749,55.0
1630193486.1231694,21839,55.0
1630193514.8977191,21899,56.0
1630193799.9025767,22549,57.0
1630193896.4474726,22749,58.0
1630193937.2121694,22849,58.0
1630194000.175147,22999,58.0
1630194159.0616624,23349,59.0
1630194275.6155818,23599,60.0
1630194318.0037808,23699,60.0
1630194371.6070733,23799,61.0
1630194499.4872236,24099,61.0
1630194594.354153,24299,62.0
1630194795.772887,24749,63.0
1630194837.2594893,24849,63.0
1630194912.724201,24999,64.0
1630195039.1553571,25299,64.0
1630195113.73866,25449,65.0
1630195135.418046,25499,65.0
1630195245.7092848,25739,65.0
1630195274.1437273,25799,66.0
1630195295.3789344,25849,66.0
1630195337.5449514,25949,66.0
1630195379.7014172,26049,66.0
1630195401.572204,26099,66.0
1630195497.4386213,26299,67.0
1630195518.1509588,26349,67.0
1630195698.5908127,26749,68.0
1630195815.8474844,26999,69.0
1630195857.4437165,27099,69.0
1630195951.061606,27299,69.0
1630196059.4839795,27549,70.0
1630196101.385901,27649,70.0
1630196335.3278885,28149,72.0
1630196479.1586978,28469,72.0
1630196494.426351,28499,73.0
1630196537.0399098,28599,73.0
1630196558.4719062,28649,73.0
1630196579.75526,28699,73.0
1630196600.8184292,28749,73.0
1630196643.2916875,28849,73.0
1630196697.174566,28949,74.0
1630196782.0011117,29149,74.0
1630196877.6710284,29349,75.0
1630196940.650014,29499,75.0
1630197014.9362817,29649,76.0
1630197078.4714572,29799,76.0
1630197141.3419867,29949,76.0
1630197215.269923,30099,77.0
1630197237.9872994,30149,77.0
1630197321.0808074,30349,77.0
1630197416.5738142,30549,78.0
1630197437.3004818,30599,78.0
1630197576.629742,30899,79.0
1630197638.9832313,31049,79.0
1630197711.1517358,31199,79.0
1630197777.4828022,31349,80.0
1630197935.7829638,31699,81.0
1630198020.2682898,31899,81.0
1630198074.342421,31999,82.0
1630198095.394656,32049,82.0
1630198116.5507343,32099,82.0
1630198255.3571172,32399,83.0
1630198381.0912669,32699,83.0
1630198415.8194644,32759,83.0
1630198434.7132897,32799,84.0
1630198519.5462422,32999,84.0
1630198591.7399652,33149,84.0
1630198657.542422,33299,85.0
1630198678.6857402,33349,85.0
1630198699.9019096,33399,85.0
1630198774.3480484,33549,86.0
1630198955.4932659,33949,87.0
1630199040.1788006,34149,87.0
1630199060.803502,34199,87.0
1630199082.28163,34249,87.0
1630199120.7878766,34319,87.0
1630199136.4181678,34349,88.0
1630199262.374049,34649,88.0
1630199337.3596418,34799,89.0
1630199359.1048388,34849,89.0
1630199400.6168816,34949,89.0
1630199443.3412876,35049,89.0
1630199498.1445403,35149,90.0
1630199518.320017,35199,90.0
1630199539.4417143,35249,90.0
1630199560.514102,35299,90.0
1630199623.8193102,35449,90.0
1630199699.3355386,35599,91.0
1630199804.089118,35849,91.0
1630199825.5679579,35879,91.0
1630199836.5896928,35899,92.0
1630199964.021691,36199,92.0
1630200080.371579,36449,93.0
1630200165.3128269,36649,93.0
1630200219.31787,36749,94.0
1630200302.8274662,36949,94.0
1630200377.7438982,37099,95.0
1630200420.1207817,37199,95.0
1630200529.781583,37439,95.0
1630201002.9943368,38499,98.0
1630201045.477733,38599,98.0
1630201058.6558533,38609,98.0
1630201141.0607,38799,99.0
1630201183.1541162,38899,99.0
1630201259.1841626,39049,100.0
1630201300.0173483,39149,100.0
1630201458.7486532,39499,101.0
1630201585.931811,39779,101.0
1630201660.209852,39949,102.0
1630201798.4372447,40249,103.0
1630201818.7490942,40299,103.0
1630201839.8432927,40349,103.0
1630201861.3824766,40399,103.0
1630201957.1767426,40599,104.0
1630201999.4657388,40699,104.0
1630202062.3309357,40849,104.0
1630202084.064301,40899,104.0
1630202113.460387,40949,104.0
1630202289.7954056,41339,105.0
1630202296.6106064,41349,106.0
1630202360.2419834,41499,106.0
1630202498.7046978,41799,107.0
1630202561.9177423,41949,107.0
1630202741.7951727,42349,108.0
1630202783.7091753,42449,108.0
1630202818.1363673,42509,108.0
1630202879.860023,42649,109.0
1630202900.5176852,42699,109.0
1630202984.9731357,42899,109.0
1630203081.902111,43099,110.0
1630203102.4707656,43149,110.0
1630203177.3063405,43299,111.0
1630203199.0948753,43349,111.0
1630203220.495523,43399,111.0
1630203240.972284,43449,111.0
1630203325.273865,43649,111.0
1630203346.7312853,43679,111.0
1630203400.121141,43799,112.0
1630203420.9752326,43849,112.0
1630203580.5221398,44199,113.0
1630203665.211818,44399,113.0
1630203700.0119705,44459,113.0
1630203740.8363757,44549,114.0
1630203761.8777103,44599,114.0
1630203921.8080251,44949,115.0
1630203943.3057435,44999,115.0
1630204007.085802,45149,115.0
